timestamp,fileformat,filename,height,width,filedata,calibrated_sensor_token,token,ego_pose_token,sample_token,is_key_frame,next,prev,count,distance_to_closest_keyframe
1755778945.800094,pcd.bin,samples/LIDAR_TOP/rosbag__LIDAR_TOP__1755778945800094.pcd.bin,0,0,"[[-27.24656     -0.4416029   13.091305     0.           0.        ]
 [-27.280895    -0.2674214   13.105154     0.           0.        ]
 [-27.231339    -0.09256596  13.086433     0.           0.        ]
 ...
 [ -3.693519    -0.12885296   0.12580287   0.           0.        ]
 [ -3.6961498   -0.0995637    0.1252675    0.           0.        ]
 [ -3.6901965   -0.07012345   0.12794638   0.           0.        ]]",c6033e509fb7da9fade41888057ef650,96f45909c6359fb1b3b279ce847ebd19,002663f8-6c40-4cc8-b790-a56b34eb0b5b,ef20634c8796c7e8c76363078ed8aea7,False,860359fb06115763608e1d19d184a8aa,,2,0.20006203651428223
1755778945.899975,pcd.bin,samples/LIDAR_TOP/rosbag__LIDAR_TOP__1755778945899975.pcd.bin,0,0,"[[-15.492443    -0.25923547   8.470735     0.           0.        ]
 [-27.957466    -0.27375364  13.371124     0.           0.        ]
 [-27.920956    -0.09477554  13.357551     0.           0.        ]
 ...
 [ -3.648705    -0.12764333   0.14295542   0.           0.        ]
 [ -3.6466594   -0.09853075   0.14420497   0.           0.        ]
 [ -3.641634    -0.06940701   0.14652467   0.           0.        ]]",c6033e509fb7da9fade41888057ef650,860359fb06115763608e1d19d184a8aa,002663f8-6c40-4cc8-b790-a56b34eb0b5b,ef20634c8796c7e8c76363078ed8aea7,False,e6c2c9dce43ff251f261855cfad52101,96f45909c6359fb1b3b279ce847ebd19,2,0.10018086433410645
1755778946.000156,pcd.bin,samples/LIDAR_TOP/rosbag__LIDAR_TOP__1755778946000156.pcd.bin,0,0,"[[-14.8010235   -0.24850795   8.1989355    0.           0.        ]
 [-14.788059    -0.15049693   8.194035     0.           0.        ]
 [-16.283087    -0.05748706   8.782218     0.           0.        ]
 ...
 [ -3.673913    -0.12832376   0.1333071    0.           0.        ]
 [ -3.6756063   -0.09913491   0.1331284    0.           0.        ]
 [ -3.6771212   -0.06993055   0.13294828   0.           0.        ]]",c6033e509fb7da9fade41888057ef650,e6c2c9dce43ff251f261855cfad52101,002663f8-6c40-4cc8-b790-a56b34eb0b5b,ef20634c8796c7e8c76363078ed8aea7,True,bf38d9268fe893e6af569a1b0537f834,860359fb06115763608e1d19d184a8aa,2,0.0
1755778946.019131,npy,samples/MICARRAY/rosbag__MICARRAY__1755778946019131.npy,0,0,"[[ 0.04742432 -4.75378418 -1.29364014 ...  0.64131165 -1.15557861
  -2.49714661]
 [ 0.08717346 -4.8371582  -1.29994202 ...  0.69586182 -1.16836548
  -2.50801086]
 [ 0.08996582 -4.81811523 -1.28973389 ...  0.73477173 -1.18391418
  -2.50334167]
 ...
 [ 5.38148499  1.24795532 -0.42304993 ... -2.93362427  0.26278687
  -2.64157104]
 [ 5.5148468   1.27868652 -0.47514343 ... -2.90318298  0.28175354
  -2.74815369]
 [ 5.6219635   1.29449463 -0.45501709 ... -2.86582947  0.29412842
  -2.83641052]]",12bd54704507014d6d9aa85f62443120,60ffcf5ac7f16ee452a42d74d5799966,002663f8-6c40-4cc8-b790-a56b34eb0b5b,ef20634c8796c7e8c76363078ed8aea7,False,dbd6e9394712759497a9f2a93391f2d6,,2,0.018975019454956055
1755778946.100283,pcd.bin,samples/LIDAR_TOP/rosbag__LIDAR_TOP__1755778946100283.pcd.bin,0,0,"[[-17.402918    -0.28887683   9.221746     0.           0.        ]
 [-15.269196    -0.15500002   8.383177     0.           0.        ]
 [-15.399895    -0.05465727   8.4349985    0.           0.        ]
 ...
 [ -3.6467013   -0.8031539    0.11341989   0.           0.        ]
 [ -3.6711125   -0.12824816   0.13437915   0.           0.        ]
 [ -3.6774745   -0.0991739    0.13241374   0.           0.        ]]",c6033e509fb7da9fade41888057ef650,bf38d9268fe893e6af569a1b0537f834,002663f8-6c40-4cc8-b790-a56b34eb0b5b,d4466fa9cc7ed0b570f842e6e8d128e0,False,202e77dad038a242c20056de7882146b,e6c2c9dce43ff251f261855cfad52101,2,0.09982109069824219
1755778946.138083,npy,samples/MICARRAY/rosbag__MICARRAY__1755778946138083.npy,0,0,"[[ 3.66868591  0.36726379  1.71723938 ...  2.83340454 -2.15707397
  -1.14021301]
 [ 3.73942566  0.36683655  1.76898193 ...  2.86212158 -2.11920166
  -1.18164062]
 [ 3.80989075  0.37614441  1.71487427 ...  2.88200378 -2.09873962
  -1.173172  ]
 ...
 [-2.97782898  1.27384949 -2.08963013 ...  4.51538086  0.29273987
   1.58605957]
 [-2.91122437  1.23181152 -2.06100464 ...  4.51400757  0.25331116
   1.58169556]
 [-2.81100464  1.28251648 -2.06694031 ...  4.49557495  0.21864319
   1.55230713]]",12bd54704507014d6d9aa85f62443120,dbd6e9394712759497a9f2a93391f2d6,002663f8-6c40-4cc8-b790-a56b34eb0b5b,d4466fa9cc7ed0b570f842e6e8d128e0,False,65d32ad02963d1fc18c5d9fb4f56ce56,60ffcf5ac7f16ee452a42d74d5799966,2,0.06202101707458496
1755778946.158808,npy,samples/MICARRAY/rosbag__MICARRAY__1755778946158807.npy,0,0,"[[-0.4131012   0.29927063  0.74690247 ... -0.22419739 -1.93852234
  10.16320801]
 [-0.4251709   0.28431702  0.67759705 ... -0.19378662 -1.96473694
  10.1421051 ]
 [-0.34571838  0.2298584   0.63653564 ... -0.19129944 -1.99517822
  10.06700134]
 ...
 [ 0.33798218  1.33853149 -2.86303711 ...  1.31169128  7.41969299
  -1.29750061]
 [ 0.2931366   1.36317444 -2.84513855 ...  1.33639526  7.44876099
  -1.28916931]
 [ 0.23043823  1.35606384 -2.86395264 ...  1.30358887  7.45504761
  -1.26473999]]",12bd54704507014d6d9aa85f62443120,65d32ad02963d1fc18c5d9fb4f56ce56,002663f8-6c40-4cc8-b790-a56b34eb0b5b,d4466fa9cc7ed0b570f842e6e8d128e0,False,6c5bb12ca75ce0040c0dcd5d97514e91,dbd6e9394712759497a9f2a93391f2d6,2,0.04129600524902344
1755778946.177914,npy,samples/MICARRAY/rosbag__MICARRAY__1755778946177914.npy,0,0,"[[ 2.78092957 -0.33529663 -0.58865356 ... -1.78890991 -3.45211792
  -2.76951599]
 [ 2.71191406 -0.301651   -0.60794067 ... -1.73176575 -3.47000122
  -2.75042725]
 [ 2.68089294 -0.31730652 -0.56628418 ... -1.68432617 -3.48245239
  -2.76269531]
 ...
 [-2.13349915 -0.66590881 -0.05924988 ...  1.14927673  2.56562805
   9.58905029]
 [-2.17480469 -0.6394043  -0.06228638 ...  1.12480164  2.57220459
   9.57374573]
 [-2.18756104 -0.62338257 -0.02288818 ...  1.13047791  2.57015991
   9.60816956]]",12bd54704507014d6d9aa85f62443120,6c5bb12ca75ce0040c0dcd5d97514e91,002663f8-6c40-4cc8-b790-a56b34eb0b5b,d4466fa9cc7ed0b570f842e6e8d128e0,False,320b3c31f826d185aa36daa4af69e5d6,65d32ad02963d1fc18c5d9fb4f56ce56,2,0.022190093994140625
1755778946.200104,pcd.bin,samples/LIDAR_TOP/rosbag__LIDAR_TOP__1755778946200104.pcd.bin,0,0,"[[-15.530596    -0.2598274    8.485733     0.           0.        ]
 [-17.688845    -0.17764631   9.334377     0.           0.        ]
 [-15.928509    -0.05635098   8.642818     0.           0.        ]
 ...
 [ -3.668311    -0.12817255   0.1354512    0.           0.        ]
 [ -3.650395    -0.0986087    0.14277577   0.           0.        ]
 [ -3.6276255   -0.06920035   0.15188396   0.           0.        ]]",c6033e509fb7da9fade41888057ef650,202e77dad038a242c20056de7882146b,002663f8-6c40-4cc8-b790-a56b34eb0b5b,d4466fa9cc7ed0b570f842e6e8d128e0,True,1781805d6b6265e40d765fc31e8d9f46,bf38d9268fe893e6af569a1b0537f834,2,0.0
1755778946.248289,npy,samples/MICARRAY/rosbag__MICARRAY__1755778946248288.npy,0,0,"[[ 0.9543457  -2.06416321  1.67118835 ... -2.45953369  7.42425537
  -2.37142944]
 [ 1.00915527 -2.02293396  1.61154175 ... -2.48439026  7.504776
  -2.33816528]
 [ 1.06793213 -1.99693298  1.59254456 ... -2.51086426  7.56445312
  -2.323349  ]
 ...
 [-1.14025879  1.14044189 -2.35505676 ...  1.53260803  0.14317322
  -0.52323914]
 [-1.14428711  1.21434021 -2.37088013 ...  1.54969788  0.12936401
  -0.53263855]
 [-1.15885925  1.28826904 -2.37184143 ...  1.53501892  0.10195923
  -0.52438354]]",12bd54704507014d6d9aa85f62443120,320b3c31f826d185aa36daa4af69e5d6,002663f8-6c40-4cc8-b790-a56b34eb0b5b,d4466fa9cc7ed0b570f842e6e8d128e0,False,d02a402577c5adfdab640dee84b15841,6c5bb12ca75ce0040c0dcd5d97514e91,2,0.048185110092163086
